timestamp,source,message,error_type,label
2025-05-16T12:01:42Z,frontend,User clicked submit button,,0
2025-05-16T12:11:42Z,backend,GET /home 200 OK,,0
2025-05-16T12:21:42Z,frontend,Uncaught ReferenceError: myFunction is not defined,ReferenceError,1
2025-05-16T12:31:42Z,frontend,ValidationError: Email format is invalid,ValidationError,1
2025-05-16T12:41:42Z,backend,Request processed in 120ms,,0
2025-05-16T12:51:42Z,frontend,Rendering homepage completed,,0
2025-05-16T13:01:42Z,backend,MemoryError: Unable to allocate 2GB of memory,MemoryError,1
2025-05-16T13:11:42Z,backend,POST /login successful,,0
2025-05-16T13:21:42Z,frontend,CSS loaded successfully,,0
2025-05-16T13:31:42Z,backend,TypeError: 'NoneType' object is not subscriptable,TypeError,1
2025-05-16T13:41:42Z,frontend,User clicked submit button,,0
2025-05-16T13:51:42Z,backend,NetworkError when attempting to fetch resource,NetworkError,1
2025-05-16T14:01:42Z,frontend,JS loaded without errors,,0
2025-05-16T14:11:42Z,backend,GET /home 200 OK,,0
2025-05-16T14:21:42Z,frontend,Uncaught ReferenceError: myFunction is not defined,ReferenceError,1
2025-05-16T14:31:42Z,frontend,Request processed in 120ms,,0
2025-05-16T14:41:42Z,backend,TimeoutError: Request timed out after 30 seconds,TimeoutError,1
2025-05-16T14:51:42Z,backend,DatabaseError: Deadlock found when trying to get lock,DatabaseError,1
2025-05-16T15:01:42Z,frontend,Rendering homepage completed,,0
2025-05-16T15:11:42Z,backend,GET /login 200 OK,,0
2025-05-16T15:21:42Z,frontend,ValidationError: Email format is invalid,ValidationError,1
2025-05-16T15:31:42Z,backend,Cache hit for user profile,,0
2025-05-16T15:41:42Z,frontend,NetworkError when attempting to fetch resource,NetworkError,1
2025-05-16T15:51:42Z,backend,POST /submit-form 200 OK,,0
2025-05-16T16:01:42Z,frontend,CSS loaded successfully,,0
2025-05-16T16:11:42Z,backend,MemoryError: Unable to allocate 2GB of memory,MemoryError,1
2025-05-16T16:21:42Z,frontend,User clicked submit button,,0
2025-05-16T16:31:42Z,backend,TypeError: 'NoneType' object is not subscriptable,TypeError,1
2025-05-16T16:41:42Z,frontend,JS loaded without errors,,0
2025-05-16T16:51:42Z,backend,Uncaught ReferenceError: myFunction is not defined,ReferenceError,1
2025-05-16T17:01:42Z,frontend,Rendering homepage completed,,0
2025-05-16T17:11:42Z,backend,GET /home 200 OK,,0
2025-05-16T17:21:42Z,frontend,Request processed in 120ms,,0
2025-05-16T17:31:42Z,backend,DatabaseError: Deadlock found when trying to get lock,DatabaseError,1
2025-05-16T17:41:42Z,frontend,User clicked submit button,,0
2025-05-16T17:51:42Z,backend,TimeoutError: Request timed out after 30 seconds,TimeoutError,1
2025-05-16T18:01:42Z,frontend,JS loaded without errors,,0
2025-05-16T18:11:42Z,backend,NetworkError when attempting to fetch resource,NetworkError,1
2025-05-16T18:21:42Z,frontend,CSS loaded successfully,,0
2025-05-16T18:31:42Z,backend,GET /login 200 OK,,0
2025-05-16T18:41:42Z,frontend,Uncaught ReferenceError: myFunction is not defined,ReferenceError,1
2025-05-16T18:51:42Z,backend,POST /submit-form 200 OK,,0
2025-05-16T19:01:42Z,frontend,User clicked submit button,,0
2025-05-16T19:11:42Z,backend,TypeError: 'NoneType' object is not subscriptable,TypeError,1
2025-05-16T19:21:42Z,frontend,Rendering homepage completed,,0
2025-05-16T19:31:42Z,backend,MemoryError: Unable to allocate 2GB of memory,MemoryError,1
2025-05-16T19:41:42Z,frontend,Request processed in 120ms,,0
2025-05-16T19:51:42Z,backend,Cache hit for user profile,,0
2025-05-16T20:01:42Z,frontend,NetworkError when attempting to fetch resource,NetworkError,1
2025-05-16T20:11:42Z,backend,GET /home 200 OK,,0
2025-05-16T20:21:42Z,frontend,JS loaded without errors,,0
2025-05-16T20:31:42Z,backend,DatabaseError: Deadlock found when trying to get lock,DatabaseError,1
2025-05-16T20:41:42Z,frontend,User clicked submit button,,0
2025-05-16T20:51:42Z,backend,TimeoutError: Request timed out after 30 seconds,TimeoutError,1
2025-05-16T21:01:42Z,frontend,CSS loaded successfully,,0
2025-05-16T21:11:42Z,backend,Uncaught ReferenceError: myFunction is not defined,ReferenceError,1
2025-05-16T21:21:42Z,frontend,Rendering homepage completed,,0
2025-05-16T21:31:42Z,backend,POST /login successful,,0
